"Year","Region_name","All_motor_vehicles",
"2010","London","18947"
"2002","Wales","13244"
"2013","Scotland","21039"
"2009","South East","15830"
"2007","Yorkshire and the Humber","2078"
"2012","West Midlands","611"
"2012","Scotland","12983"
"2010","North West","16439"
"2010","South East","22031"
"2021","London","23445"
"2001","London","38688"
"2007","West Midlands","5297"
"2015","North West","7151"
"2017","North East","4808"
"2015","South East","128113"
"2001","South East","15350"
"2010","East of England","4073"
"2000","Yorkshire and the Humber","18117"
"2001","South East","1488"
"2014","South West","67"
"2010","North West","27253"
"2003","West Midlands","12735"
"2004","Wales","21612"
"2005","Scotland","5840"
"2007","Yorkshire and the Humber","567"
"2010","West Midlands","14004"
"2017","Wales","3063"
"2000","East Midlands","11702"
"2015","East of England","4851"
"2017","Scotland","10167"
"2017","London","31679"
"2021","London","12662"
"2014","Yorkshire and the Humber","10165"
"2001","East of England","15984"
"2005","London","34042"
"2009","North West","11897"
"2007","North West","14875"
"2008","West Midlands","967"
"2000","South West","18777"
"2014","Scotland","1868"
"2012","Yorkshire and the Humber","1773"
"2016","London","4690"
"2018","East of England","11027"
"2007","East Midlands","25556"
"2021","West Midlands","7849"
"2018","South East","557"
"2011","North West","15835"
"2001","Yorkshire and the Humber","20673"
"2011","West Midlands","8048"
"2005","London","23190"
"2012","South East","7730"
"2012","West Midlands","10838"
"2004","South West","26083"
"2011","South East","26797"
"2019","South East","21775"
"2008","London","18447"
"2009","East Midlands","43047"
"2013","Wales","6831"
"2005","East Midlands","23347"
"2017","South West","4104"
"2016","London","16113"
"2018","North West","6897"
"2019","East of England","70063"
"2018","East Midlands","641"
"2009","South East","5836"
"2011","East Midlands","9022"
"2019","London","18784"
"2021","South West","6085"
"2010","South East","10486"
"2002","Yorkshire and the Humber","40240"
"2013","North West","13557"
"2001","South East","21427"
"2002","East Midlands","542"
"2009","South West","7453"
"2019","East Midlands","441"
"2000","London","24832"
"2002","West Midlands","12888"
"2014","West Midlands","84"
"2010","North West","32210"
"2009","East of England","16415"
"2010","North West","39961"
"2000","London","32677"
"2006","East Midlands","4304"
"2000","North East","10407"
"2010","South West","734"
"2015","North West","5626"
"2015","London","16061"
"2016","North West","444"
"2006","North East","1340"
"2021","East Midlands","18385"
"2001","West Midlands","3803"
"2010","Wales","4814"
"2018","South East","30835"
"2017","South West","509"
"2021","East of England","30415"
"2007","London","36586"
"2001","East of England","4914"
"2003","Scotland","66522"
"2017","London","994"
"2019","West Midlands","6459"
"2021","London","536"
"2012","Scotland","35817"
"2018","South West","11407"
"2016","North East","195"
"2017","East of England","4602"
"2021","Scotland","2362"
"2003","East Midlands","4739"
"2008","Wales","41149"
"2009","West Midlands","34517"
"2020","South West","13474"
"2009","South West","18966"
"2018","Scotland","629"
"2006","East of England","2768"
"2008","South East","8553"
"2018","East of England","19876"
"2002","Scotland","7036"
"2012","East of England","5553"
"2012","Yorkshire and the Humber","12464"
"2017","Scotland","11221"
"2016","South West","8519"
"2008","South West","398"
"2009","East Midlands","11703"
"2013","South West","31491"
"2008","West Midlands","93813"
"2016","East Midlands","19616"
"2006","North East","9651"
"2009","South West","1483"
"2004","Wales","22110"
"2021","South East","16384"
"2003","North West","1706"
"2006","West Midlands","1313"
"2009","South West","3581"
"2015","West Midlands","23912"
"2007","East Midlands","15995"
"2001","North West","6456"
"2015","Scotland","553"
"2005","South East","5632"
"2000","London","27239"
"2002","Scotland","6611"
"2015","Yorkshire and the Humber","171"
"2004","Scotland","10386"
"2018","North West","17042"
"2010","East of England","16846"
"2019","South West","16579"
"2013","West Midlands","14019"
"2015","London","29676"
"2018","West Midlands","6123"
"2005","South West","1708"
"2016","West Midlands","3499"
"2018","North East","46872"
"2013","London","8808"
"2015","London","11881"
"2016","South West","14147"
"2006","South East","9097"
"2017","South East","61816"
"2000","South East","4366"
"2016","Scotland","4686"
"2003","Wales","11187"
"2008","West Midlands","6874"
"2012","South East","1543"
"2006","Wales","16474"
"2006","London","14582"
"2002","Yorkshire and the Humber","5425"
"2000","London","16991"
"2013","North East","16191"
"2007","Yorkshire and the Humber","7545"
"2000","North West","11163"
"2011","East of England","8100"
"2015","West Midlands","436"
"2015","Scotland","16802"
"2005","East of England","10410"
"2005","East Midlands","10080"
"2006","West Midlands","6954"
"2010","Yorkshire and the Humber","13048"
"2002","London","19321"
"2011","South East","23153"
"2007","South West","1606"
"2017","South East","82"
"2011","South East","19478"
"2010","South East","5485"
"2003","Scotland","27824"
"2015","London","92298"
"2006","South West","1043"
"2018","East Midlands","54"
"2017","East Midlands","6383"
"2003","North East","16928"
"2021","London","66581"
"2007","South West","5543"
"2018","North East","4307"
"2013","Yorkshire and the Humber","7018"
"2016","North East","18975"
"2018","North West","17065"
"2016","Yorkshire and the Humber","5188"
"2008","London","18042"
"2016","East Midlands","342"
"2008","North West","1529"
"2011","South East","44603"
"2014","North East","2557"
"2021","North West","9207"
"2018","East Midlands","13754"
"2007","South East","2886"
"2016","Wales","9953"
"2012","London","29430"
"2010","Scotland","4798"
"2008","North East","60531"
"2002","South West","6219"
"2010","South East","4044"
"2006","South West","2441"
"2017","Scotland","53534"
"2013","North West","10723"
"2004","North West","9220"
"2009","Scotland","12401"
"2000","Yorkshire and the Humber","22895"
"2014","London","30565"
"2001","North East","9692"
"2000","East of England","12284"
"2018","South East","3918"
"2014","East Midlands","8665"
"2020","Yorkshire and the Humber","12928"
"2009","North West","6499"
"2010","North East","13957"
"2000","North West","13025"
"2020","East Midlands","5753"
"2008","South West","8062"
"2018","East of England","8449"
"2016","North East","880"
"2009","Yorkshire and the Humber","7572"
"2000","Yorkshire and the Humber","12992"
"2002","Scotland","2752"
"2012","Yorkshire and the Humber","66974"
"2011","Scotland","3805"
"2011","Scotland","3663"
"2019","East Midlands","29743"
"2004","East of England","3540"
"2009","Wales","7765"
"2009","London","24412"
"2003","West Midlands","35475"
"2020","Scotland","399"
"2011","South West","15600"
"2003","South East","40388"
"2002","East of England","13708"
"2019","North West","51133"
"2000","East of England","16221"
"2009","Wales","5356"
"2021","Wales","1403"
"2004","Scotland","36470"
"2017","London","11531"
"2016","South East","118"
"2012","South East","17253"
"2006","West Midlands","28886"
"2004","Scotland","3300"
"2013","West Midlands","15636"
"2020","Yorkshire and the Humber","124"
"2019","Yorkshire and the Humber","5670"
"2017","South East","11831"
"2003","South East","12984"
"2018","North West","1342"
"2011","Wales","5009"
"2007","South West","32841"
"2008","Yorkshire and the Humber","2764"
"2020","West Midlands","39"
"2003","East Midlands","4195"
"2010","East of England","21334"
"2021","London","10425"
"2007","East of England","15294"
"2004","East of England","36238"
"2007","South West","6986"
"2009","North West","4829"
"2018","South East","1502"
"2001","North West","74380"
"2004","Scotland","12342"
"2005","Scotland","881"
"2005","Yorkshire and the Humber","16433"
"2014","Scotland","10950"
"2009","North West","8434"
"2020","Wales","6046"
"2014","North East","4155"
"2014","South West","9022"
"2019","North West","1251"
"2020","Yorkshire and the Humber","13089"
"2000","Yorkshire and the Humber","6200"
"2019","West Midlands","25999"
"2002","London","30571"
"2017","South East","15282"
"2000","Wales","4296"
"2010","Yorkshire and the Humber","82342"
"2017","East Midlands","6602"
"2019","South East","785"
"2021","South West","15843"
